cantidad,x
1,19853.96724
2,12411.14895
3,10788.1651
4,20133.2326
5,12220.37888
6,10875.93539
7,11655.74684
8,17090.47948
9,6346.149536
10,11003.79889
11,7252.999946
12,6797.384733
13,11970.25468
14,11722.16481
15,10164.63802
16,9357.467447
17,8243.52711
18,11165.36846
19,13273.72424
20,8637.976433
21,11125.90725
22,7860.606032
23,9696.089548
24,8495.847196
25,10837.69717
26,8003.73151
27,4258.87396
28,13236.69127
29,7994.927759
30,9557.624921
31,8053.334886
32,11180.89247
33,5144.697214
34,4400.844834
35,14948.89878
36,6166.182605
37,8904.949671
38,13785.23772
39,7718.386445
40,14493.387
41,10630.37622
42,13338.10029
43,4795.86313
44,10911.93349
45,11634.21971
46,10067.61107
47,7193.213212
48,13829.93031
49,11384.21404
50,13094.04298
51,14718.99308
52,4452.07636
53,15071.5056
54,9263.30738
55,7485.185857
56,5923.219285
57,11080.57623
58,10720.77915
59,9214.308795
60,5604.230709
61,10361.54875
62,10408.78457
63,20201.7497
64,2194.799341
65,10729.01682
66,10787.43457
67,6310.320408
68,6778.131813
69,8048.643786
70,9773.413417
71,10640.65992
72,5327.128913
73,9366.731151
74,9987.725794
75,6388.011695
76,11960.35346
77,9235.297226
78,19621.86125
79,11289.09535
80,4670.245218
81,11950.79536
82,8399.051833
83,10716.61993
84,15708.37704
85,7153.345563
86,8006.77678
87,10843.67373
88,15696.96779
89,13839.52397
90,10781.59586
91,17446.00055
92,8374.210809
93,11970.89098
94,8655.3534
95,11245.59226
96,5645.373105
97,10459.47111
98,13349.98461
99,9811.206545
100,12318.52385
101,9217.834525
102,10438.54029
103,6395.408641
104,13817.42582
105,12440.70957
106,11806.857
107,15759.78531
108,12398.94595
109,17014.70477
110,11383.11246
111,8560.551083
112,8631.475385
113,20115.68302
114,12448.4831
115,7500.412661
116,7331.278778
117,10971.05402
118,9247.633718
119,9301.499429
120,9899.922726
121,6181.762698
122,17079.81554
123,6989.807967
124,12281.7319
125,11469.54257
126,8464.277759
127,10318.72376
128,18412.62087
129,16255.28912
130,11623.70602
131,8737.033224
132,14428.92718
133,5287.500356
134,8712.174646
135,16607.02297
136,12048.55851
137,20191.54245
138,7677.469362
139,8291.179094
140,10305.57217
141,8674.423391
142,6497.615165
143,6120.767359
144,5801.153274
145,10644.34238
146,6478.80062
147,17397.72787
148,14065.34406
149,7007.526936
150,14274.25597
151,6921.070946
152,14650.09946
153,13124.5907
154,11065.7536
155,12477.47137
156,10081.62846
157,7457.608928
158,13745.53687
159,6588.242974
160,8902.478488
161,11358.64016
162,8758.335322
163,9275.049274
164,13104.40077
165,3933.445639
166,8540.50845
167,13045.00335
168,11124.35594
169,11515.56758
170,7174.384416
171,10842.65662
172,14165.00127
173,12964.72961
174,11602.43439
175,6994.957719
176,4319.638946
177,9878.586785
178,9873.418676
179,7100.980202
180,5765.237119
181,7394.985212
182,9384.208671
183,10549.20474
184,11824.85497
185,5988.115779
186,16123.94093
187,16713.70728
188,6459.091963
189,6218.74049
190,8289.197091
191,19322.75831
192,10924.61749
193,6298.339206
194,12936.60283
195,13461.17875
196,6159.429841
197,11586.44897
198,10223.09407
199,16802.43527
200,7327.071423
201,8183.238434
202,9885.515616
203,12628.93269
204,8013.613541
205,12680.96158
206,6746.169401
207,11076.86564
208,10921.36112
209,12463.59294
210,13639.26093
211,7415.698767
212,8785.855312
213,5218.071501
214,13587.56443
215,8559.03402
216,6721.045674
217,7254.066151
218,9134.739326
219,5630.475519
220,19065.72175
221,8651.906686
222,9418.464254
223,9587.008789
224,14800.10302
225,14838.99839
226,7443.964156
227,16943.45422
228,8098.463919
229,7383.163419
230,5288.143386
231,5338.78331
232,12514.8488
233,5878.724738
234,10089.84274
235,7351.361522
236,9525.238478
237,13866.52323
238,8766.556443
239,11290.69647
240,12441.48426
241,9830.739914
242,5132.371529
243,6333.900464
244,9491.489771
245,6397.422689
246,13911.63893
247,11216.14486
248,2812.903472
249,19526.22029
250,9971.664133
251,6126.528343
252,4969.263778
253,6116.449136
254,7965.663222
255,16070.0145
256,6559.063584
257,11286.3308
258,15959.73024
259,20559.54069
260,9152.570497
261,9712.357703
262,4018.800288
263,14488.72943
264,5493.431963
265,4031.430066
266,13828.66754
267,8794.460154
268,7984.654723
269,8512.886955
270,11530.64476
271,6361.307381
272,11903.77164
273,12111.17393
274,9933.160227
